from_id,to_id,line_id,dist_m,travel_sec,is_estimated,verified
N24,N23,SUKHUMVIT,2272.3,263.7,1,1
N23,N22,SUKHUMVIT,902.3,122.8,1,1
N22,N21,SUKHUMVIT,927.2,125.4,1,1
N21,N20,SUKHUMVIT,1807.9,216.0,1,1
N20,N19,SUKHUMVIT,1046.3,137.6,1,1
N19,N18,SUKHUMVIT,766.9,108.9,1,1
N18,N17,SUKHUMVIT,1080.5,141.1,1,0
N17,N16,SUKHUMVIT,858.1,118.3,1,0
N16,N15,SUKHUMVIT,1476.1,181.8,1,1
N15,N14,SUKHUMVIT,736.2,105.7,1,1
N14,N13,SUKHUMVIT,1249.9,158.6,1,0
N13,N12,SUKHUMVIT,959.0,128.6,1,0
N12,N11,SUKHUMVIT,995.2,132.4,1,0
N11,N10,SUKHUMVIT,736.3,105.7,1,0
N10,N9,SUKHUMVIT,984.5,131.3,1,0
N9,N8,SUKHUMVIT,1770.0,212.1,0,0
N8,N7,SUKHUMVIT,1069.6,140.0,0,0
N7,N5,SUKHUMVIT,1672.8,202.1,0,0
N5,N4,SUKHUMVIT,806.6,113.0,0,0
N4,N3,SUKHUMVIT,998.5,132.7,0,0
N3,N2,SUKHUMVIT,1010.1,133.9,0,0
N2,N1,SUKHUMVIT,569.7,88.6,0,0
N1,CEN,SUKHUMVIT,757.4,107.9,0,0
CEN,E1,SUKHUMVIT,1005.8,133.5,0,0
E1,E2,SUKHUMVIT,591.8,90.9,0,0
E2,E3,SUKHUMVIT,768.0,109.0,0,0
E3,E4,SUKHUMVIT,640.7,95.9,0,0
E4,E5,SUKHUMVIT,1289.9,162.7,0,0
E5,E6,SUKHUMVIT,1189.5,152.4,0,0
E6,E7,SUKHUMVIT,886.2,121.2,0,0
E7,E8,SUKHUMVIT,828.1,115.2,0,0
E8,E9,SUKHUMVIT,1496.3,183.9,0,0
E9,E10,SUKHUMVIT,1104.4,143.6,0,0
E10,E11,SUKHUMVIT,944.6,127.2,0,0
E11,E12,SUKHUMVIT,1056.6,138.7,0,0
E12,E13,SUKHUMVIT,1408.7,174.9,0,0
E13,E14,SUKHUMVIT,798.0,112.1,0,0
E14,E15,SUKHUMVIT,1758.5,210.9,0,0
E15,E16,SUKHUMVIT,1323.8,166.2,1,0
E16,E17,SUKHUMVIT,1698.1,204.7,1,0
E17,E18,SUKHUMVIT,1675.7,202.4,1,0
E18,E19,SUKHUMVIT,1323.8,166.2,1,0
E19,E20,SUKHUMVIT,1413.2,175.4,1,0
E20,E21,SUKHUMVIT,1413.2,175.4,1,0
E21,E22,SUKHUMVIT,1413.2,175.4,1,0
E22,E23,SUKHUMVIT,1413.2,175.4,1,0
W1,CEN,SILOM,483.5,79.7,0,0
CEN,S1,SILOM,876.8,120.2,0,0
S1,S2,SILOM,1347.3,168.6,0,0
S2,S3,SILOM,806.1,112.9,0,0
S3,S4,SILOM,672.6,99.2,0,0
S4,S5,SILOM,781.1,110.3,0,0
S5,S6,SILOM,233.6,54.0,0,0
S6,S7,SILOM,1386.4,172.6,0,0
S7,S8,SILOM,1350.3,168.9,0,0
S8,S9,SILOM,745.1,106.6,1,0
S9,S10,SILOM,745.1,106.6,1,0
S10,S11,SILOM,1025.3,135.5,1,0
S11,S12,SILOM,1025.3,135.5,1,0
G1,G2,GOLD,1036.7,174.3,0,0
G2,G3,GOLD,405.3,83.4,0,0
BL01,BL02,BLUE,1194.2,157.8,1,0
BL02,BL03,BLUE,1780.0,218.1,1,0
BL03,BL04,BLUE,1442.0,183.3,1,0
BL04,BL05,BLUE,951.5,132.9,1,0
BL05,BL06,BLUE,951.5,132.9,1,0
BL06,BL07,BLUE,1570.1,196.5,1,0
BL07,BL08,BLUE,1570.1,196.5,1,0
BL08,BL09,BLUE,1570.0,196.5,1,0
BL09,BL10,BLUE,863.9,123.9,0,0
BL10,BL11,BLUE,1034.9,141.5,0,0
BL11,BL12,BLUE,864.5,123.9,1,0
BL12,BL13,BLUE,864.5,123.9,1,0
BL13,BL14,BLUE,1418.7,180.9,0,0
BL14,BL15,BLUE,367.0,72.8,0,0
BL15,BL16,BLUE,1496.2,188.9,1,0
BL16,BL17,BLUE,1496.3,188.9,1,0
BL17,BL18,BLUE,1496.2,188.9,1,0
BL18,BL19,BLUE,1344.9,173.3,0,0
BL19,BL20,BLUE,1063.1,144.3,0,0
BL20,BL21,BLUE,1045.7,142.6,0,0
BL21,BL22,BLUE,1211.2,159.6,0,0
BL22,BL23,BLUE,1719.1,211.8,0,0
BL23,BL24,BLUE,736.6,110.8,0,0
BL24,BL25,BLUE,886.1,126.1,0,0
BL25,BL26,BLUE,1081.4,146.2,0,0
BL26,BL27,BLUE,821.1,119.5,0,0
BL27,BL28,BLUE,1478.7,187.1,0,0
BL28,BL29,BLUE,958.6,133.6,0,0
BL29,BL30,BLUE,950.1,132.7,0,0
BL30,BL31,BLUE,821.0,119.4,0,0
BL31,BL32,BLUE,1020.2,139.9,0,0
BL34,BL35,BLUE,1840.0,224.3,1,0
BL35,BL36,BLUE,1804.1,220.6,1,0
BL36,BL37,BLUE,1804.1,220.6,1,0
BL37,BL38,BLUE,1804.1,220.6,1,0
BL38,BL39,BLUE,658.9,102.8,0,0
PP01,PP02,PURPLE,734.3,105.5,1,0
PP02,PP03,PURPLE,2240.0,260.4,1,0
PP03,PP04,PURPLE,1371.1,171.0,1,0
PP04,PP05,PURPLE,1371.0,171.0,1,0
PP05,PP06,PURPLE,1303.9,164.1,1,0
PP06,PP07,PURPLE,2920.5,330.4,1,0
PP07,PP08,PURPLE,1371.2,171.0,1,0
PP08,PP09,PURPLE,971.0,129.9,1,0
PP09,PP10,PURPLE,970.9,129.9,1,0
PP10,PP11,PURPLE,971.0,129.9,1,0
PP11,PP12,PURPLE,1017.2,134.6,1,0
PP12,PP13,PURPLE,1017.2,134.6,1,0
PP13,PP14,PURPLE,1017.3,134.6,1,0
PP14,PP15,PURPLE,1017.3,134.6,1,0
PP15,PP16,PURPLE,2156.4,251.8,0,0
YL01,YL02,YELLOW,3009.3,391.1,1,0
YL02,YL03,YELLOW,1238.0,178.6,1,1
YL03,YL04,YELLOW,1614.3,223.7,1,1
YL04,YL05,YELLOW,819.3,128.3,1,1
YL05,YL06,YELLOW,1244.7,179.4,1,1
YL06,YL07,YELLOW,829.5,129.5,1,1
YL07,YL08,YELLOW,1741.9,239.0,1,0
YL08,YL09,YELLOW,540.9,94.9,0,0
YL09,YL10,YELLOW,1181.2,171.7,1,1
YL10,YL11,YELLOW,320.9,68.5,1,0
YL11,YL12,YELLOW,2500.4,330.0,1,0
YL12,YL13,YELLOW,1638.1,226.6,1,1
YL13,YL14,YELLOW,1192.7,173.1,1,1
YL14,YL15,YELLOW,1093.3,161.2,1,1
YL15,YL16,YELLOW,1591.6,221.0,1,1
YL16,YL17,YELLOW,991.2,148.9,1,1
