line_id,name_th,name_en,color,operator,owner,status,mmap2_tier,mode,num_stations,est_opening_year,avg_speed_kmh,dwell_sec,is_estimated
SUKHUMVIT,สายสุขุมวิท,BTS Sukhumvit Line,light_green,BTSC,BMA,operating,,elevated,47,1999,35,30,0
SILOM,สายสีลม,BTS Silom Line,dark_green,BTSC,BMA,operating,,elevated,14,1999,35,30,0
GOLD,สายสีทอง,Gold Line,gold,BTSC,BMA,operating,,apm,3,2020,25,25,0
BLUE,สายเฉลิมรัชมงคล,MRT Blue Line,blue,BEM,MRTA,operating,,underground,38,2004,35,35,0
PURPLE,สายฉลองรัชธรรม,MRT Purple Line,purple,BEM,MRTA,operating,,elevated,16,2016,35,30,0
YELLOW,สายนัคราพิพัฒน์,MRT Yellow Line,yellow,EBM,MRTA,operating,,monorail,23,2023,30,30,0
PINK,สายสีชมพู,MRT Pink Line,pink,NBM,MRTA,operating,,monorail,30,2023,30,30,0
PINK_MT,สายสีชมพู ส่วนต่อขยายเมืองทองธานี,Pink Line Muang Thong Spur,pink,NBM,MRTA,operating,,monorail,3,2025,30,30,0
DARKRED,สายธานีรัถยา,SRT Dark Red Line,dark_red,SRTET,SRT,operating,,heavy_rail,10,2021,45,30,0
LIGHTRED,สายนครวิถี,SRT Light Red Line,light_red,SRTET,SRT,operating,,heavy_rail,4,2021,45,30,0
ARL,แอร์พอร์ต เรล ลิงก์,Airport Rail Link,arl_red,AERA1,SRT,operating,,heavy_rail,8,2010,45,30,0
ORANGE_E,สายสีส้ม ตะวันออก,MRT Orange Line East,orange,BEM,MRTA,under_construction,,underground,17,2028,35,35,1
ORANGE_W,สายสีส้ม ตะวันตก,MRT Orange Line West,orange,BEM,MRTA,under_construction,,underground,12,2030,35,35,1
PURPLE_S,สายสีม่วงใต้,MRT Purple Line South,purple,BEM,MRTA,under_construction,,underground,17,2030,35,35,1
BROWN,สายสีน้ำตาล,MRT Brown Line,brown,MRTA,MRTA,planned,A1,monorail,20,2032,30,30,1
GREY,สายสีเทา,Grey Line,grey,MRTA,MRTA,planned,A2,monorail,11,2034,30,30,1
SILVER,สายสีเงิน,Silver Line,silver,MRTA,MRTA,planned,A2,lrt,14,2034,30,30,1
LIGHTBLUE,สายสีฟ้า,Light Blue Line,light_blue,MRTA,MRTA,planned,B,monorail,8,2036,30,30,1
DARKRED_N,สายสีแดงเข้ม รังสิต-ธรรมศาสตร์,Dark Red Ext. Rangsit-Thammasat,dark_red,SRTET,SRT,planned,A1,heavy_rail,5,2031,45,30,1
LIGHTRED_W,สายสีแดงอ่อน ตลิ่งชัน-ศาลายา,Light Red Ext. Taling Chan-Salaya,light_red,SRTET,SRT,planned,A1,heavy_rail,5,2031,45,30,1
LIGHTRED_S,สายสีแดงอ่อน ตลิ่งชัน-ศิริราช,Light Red Ext. Taling Chan-Siriraj,light_red,SRTET,SRT,planned,A1,heavy_rail,4,2031,45,30,1
