station_id,name_th,name_en,lat,lon,lines,coord_source,is_estimated,map_x,map_y,label_side
N24,คูคต,Khu Khot,14.0071,100.647,SUKHUMVIT,anchor,0,801.3,89.9,left
N23,แยก คปอ.,Yaek Kor Por Aor,13.9861,100.6403,SUKHUMVIT,interpolated,0,801.3,149.9,left
N22,พิพิธภัณฑ์กองทัพอากาศ,Royal Thai Air Force Museum,13.9651,100.6336,SUKHUMVIT,interpolated,0,801.4,209.9,left
N21,โรงพยาบาลภูมิพลอดุลยเดช,Bhumibol Adulyadej Hospital,13.9441,100.6269,SUKHUMVIT,interpolated,0,801.4,270.0,left
N20,สะพานใหม่,Saphan Mai,13.9231,100.6202,SUKHUMVIT,anchor,0,801.5,330.1,right
N19,สายหยุด,Sai Yud,13.907,100.611667,SUKHUMVIT,interpolated,0,759.3,372.7,left
N18,พหลโยธิน 59,Phahon Yothin 59,13.8909,100.603133,SUKHUMVIT,interpolated,0,717.1,415.3,left
N17,วัดพระศรีมหาธาตุ,Wat Phra Sri Mahathat,13.8748,100.5946,SUKHUMVIT,anchor,0,690.0,442.9,right
N16,กรมทหารราบที่ 11,11th Infantry Regiment,13.867275,100.588875,SUKHUMVIT,interpolated,0,661.2,471.1,left
N15,บางบัว,Bang Bua,13.85975,100.58315,SUKHUMVIT,interpolated,0,639.8,492.1,left
N14,กรมป่าไม้,Royal Forest Department,13.852225,100.577425,SUKHUMVIT,interpolated,0,618.4,513.1,right
N13,มหาวิทยาลัยเกษตรศาสตร์,Kasetsart University,13.8447,100.5717,SUKHUMVIT,anchor,0,596.9,534.2,right
N12,เสนานิคม,Sena Nikhom,13.837675,100.56915,SUKHUMVIT,interpolated,0,575.7,555.5,right
N11,รัชโยธิน,Ratchayothin,13.83065,100.5666,SUKHUMVIT,interpolated,0,553.5,577.6,left
N10,พหลโยธิน 24,Phahon Yothin 24,13.823625,100.56405,SUKHUMVIT,interpolated,0,593.9,617.9,right
N9,ห้าแยกลาดพร้าว,Ha Yaek Lat Phrao,13.8166,100.5615,SUKHUMVIT,anchor,0,542.8,617.9,left
N8,หมอชิต,Mo Chit,13.8026,100.5537,SUKHUMVIT,anchor,0,545.0,673.4,left
N7,สะพานควาย,Saphan Khwai,13.7938,100.5497,SUKHUMVIT,anchor,0,544.2,707.1,left
N5,อารีย์,Ari,13.7797,100.5443,SUKHUMVIT,anchor,0,543.7,736.5,left
N4,สนามเป้า,Sanam Pao,13.7729,100.5417,SUKHUMVIT,anchor,0,543.4,765.9,right
N3,อนุสาวรีย์ชัยสมรภูมิ,Victory Monument,13.7649,100.5375,SUKHUMVIT,anchor,0,513.7,794.9,left
N2,พญาไท,Phaya Thai,13.7566,100.5337,SUKHUMVIT,anchor,0,486.1,821.9,left
N1,ราชเทวี,Ratchathewi,13.7519,100.5316,SUKHUMVIT,anchor,0,485.6,857.8,right
CEN,สยาม,Siam,13.7455,100.534,SUKHUMVIT|SILOM,anchor,0,485.1,887.8,left
E1,ชิดลม,Chit Lom,13.7441,100.5432,SUKHUMVIT,anchor,0,523.6,887.9,right
