from_id,to_id,transfer_type,walk_sec,exit_required,is_estimated,verified
CEN,CEN,PAID,120,0,0,0
PP16,BL10,PAID_MULTI,180,0,1,0
RN01,RW01,PAID,120,0,0,0
BL01,BL01,PAID,90,0,0,0
S7,G1,EXIT,180,1,0,0
S12,BL35,EXIT,240,1,0,0
E4,BL22,SKYWALK,180,1,0,0
N8,BL13,SKYWALK,300,1,0,0
N9,BL15,SKYWALK,240,1,0,0
S2,BL26,SKYWALK,300,1,0,0
N2,A8,SKYWALK,300,1,0,0
BL21,A6,SKYWALK,480,1,0,0
BL11,RN01,EXIT,600,1,0,0
BL11,RW01,EXIT,600,1,0,0
PP15,RW02,EXIT,360,1,0,0
E15,YL23,EXIT,300,1,0,0
N17,PK16,EXIT,240,1,0,0
BL15,YL01,EXIT,300,1,0,0
YL11,A4,EXIT,360,1,0,0
PK14,RN06,EXIT,360,1,0,0
PK01,PP11,EXIT,240,1,0,0
PK10,PK10,PAID,60,0,0,1
OR12,BL19,PAID_MULTI,180,0,1,0
OR01,BL04,PAID_MULTI,180,0,1,0
OR07,N1,EXIT,240,1,1,0
OR16,A5,EXIT,300,1,1,0
OR18,YL11,EXIT,300,1,1,0
OR19,YL09,PAID_MULTI,240,0,1,0
OR27,PK30,EXIT,300,1,1,0
PP23,BL30,PAID_MULTI,180,0,1,0
PP25,S8,EXIT,300,1,1,0
BR01,PK02,EXIT,240,1,1,0
BR07,N13,EXIT,300,1,1,0
BR20,YL09,EXIT,300,1,1,0
GR01,PK21,EXIT,300,1,1,0
GR11,E6,EXIT,300,1,1,0
SV01,E13,EXIT,300,1,1,0
SV14,A1,EXIT,300,1,1,0
LB03,A6,EXIT,300,1,1,0
LB06,E1,EXIT,240,1,1,0
LB07,BL25,EXIT,300,1,1,0
RS03,OR02,PAID_MULTI,180,0,1,0
